id,booking_status_pred,Probability
42100,0,0.07462088
42101,0,0.023311865
42102,0,0.34909427
42103,0,0.17859896
42104,0,0.4815371
42105,1,0.5916772
42106,1,0.5079615
42107,1,0.71715236
42108,0,4.8730357e-08
42109,1,0.55474675
42110,1,0.6748585
42111,0,0.23078425
42112,0,0.42369214
42113,0,0.20321752
42114,0,0.35606265
42115,1,0.74907523
42116,0,0.068305
42117,0,0.17151295
42118,1,0.9132458
42119,1,0.89967173
42120,1,0.91953164
42121,0,0.3083764
42122,0,0.007994966
42123,1,0.6837562
42124,1,0.9072385
42125,0,0.007276884
42126,0,2.2582093e-21
42127,0,0.019538157
42128,0,0.2689112
42129,1,0.59681433
42130,1,0.8524309
42131,0,0.38260832
42132,0,0.45317683
42133,1,0.94480205
42134,0,0.46466717
42135,0,1.0213332e-11
42136,0,0.058425758
42137,0,0.47457418
42138,1,0.7599662
42139,1,0.8514504
42140,0,0.0033713852
42141,0,0.2613478
42142,1,0.5951542
42143,1,0.8724579
42144,0,0.0733603
42145,1,0.8067243
42146,0,0.0474627
42147,1,0.89128965
42148,1,0.63808817
42149,0,0.45301574
42150,0,0.22778672
42151,1,0.7391451
42152,1,0.7549739
42153,0,0.14586484
42154,1,0.5053402
42155,0,0.42280415
42156,0,0.4207142
42157,0,0.031569973
42158,0,0.30478725
42159,1,0.8262375
42160,1,0.5983971
42161,0,4.807045e-06
42162,0,0.089220345
42163,0,0.039520994
42164,1,0.75536776
42165,0,0.47528058
42166,1,0.7845993
42167,0,7.0081256e-09
42168,1,0.7526164
42169,1,0.82663363
42170,0,0.03201811
42171,0,0.18660092
42172,0,0.21798055
42173,1,0.84630424
42174,0,0.08043101
42175,0,0.19182152
42176,1,0.9238901
42177,0,0.23876244
42178,0,0.03707963
42179,1,0.9038761
42180,1,0.7681794
42181,1,0.5176691
42182,1,0.74104804
42183,0,0.38575676
42184,0,0.065387644
42185,0,0.15282968
42186,0,0.21324627
42187,0,0.48719475
42188,0,0.014280887
42189,0,0.15423894
42190,0,0.16611524
42191,0,0.23414536
42192,0,0.26576725
42193,0,0.23417263
42194,0,0.3564339
42195,1,0.925939
42196,1,0.8694382
42197,0,0.42518982
42198,1,0.6991379
42199,1,0.5233611
42200,0,0.4280246
42201,1,0.523311
42202,0,0.4441884
42203,0,0.32918805
42204,1,0.75556463
42205,0,0.19770631
42206,0,0.009972275
42207,1,0.66387403
42208,0,0.07086144
42209,0,0.20446691
42210,0,0.26538688
42211,0,0.25672212
42212,0,0.25874117
42213,1,0.8560328
42214,1,0.6326634
42215,0,0.25220135
42216,1,0.7498295
42217,0,0.12527953
42218,0,0.017115043
42219,0,0.22324659
